,time,TD,N,CH
582,5.82000,14.01091,10.58768,3.35917
583,5.83000,14.01621,10.59976,3.35816
584,5.84000,14.02151,10.61183,3.35716
585,5.85000,14.02682,10.62390,3.35615
586,5.86000,14.03213,10.63597,3.35514
587,5.87000,14.03745,10.64804,3.35414
588,5.88000,14.04278,10.66011,3.35313
589,5.89000,14.04811,10.67217,3.35212
590,5.90000,14.05345,10.68424,3.35112
591,5.91000,14.05880,10.69630,3.35011
592,5.92000,14.06415,10.70836,3.34911
593,5.93000,14.06951,10.72042,3.34810
594,5.94000,14.07487,10.73247,3.34710
595,5.95000,14.08024,10.74453,3.34610
596,5.96000,14.08562,10.75658,3.34509
597,5.97000,14.09100,10.76863,3.34409
598,5.98000,14.09638,10.78068,3.34309
599,5.99000,14.10178,10.79273,3.34208
600,6.00000,14.10718,10.80478,3.34108
601,6.01000,14.11258,10.81682,3.34008
602,6.02000,14.11799,10.82887,3.33908
603,6.03000,14.12341,10.84091,3.33808
604,6.04000,14.12883,10.85295,3.33707
605,6.05000,14.13426,10.86499,3.33607
606,6.06000,14.13970,10.87702,3.33507
607,6.07000,14.14514,10.88906,3.33407
608,6.08000,14.15059,10.90109,3.33307
609,6.09000,14.15604,10.91313,3.33207
610,6.10000,14.16150,10.92516,3.33107
611,6.11000,14.16697,10.93719,3.33007
612,6.12000,14.17244,10.94921,3.32907
613,6.13000,14.17792,10.96124,3.32808
614,6.14000,14.18340,10.97326,3.32708
615,6.15000,14.18889,10.98529,3.32608
616,6.16000,14.19439,10.99731,3.32508
617,6.17000,14.19989,11.00933,3.32408
618,6.18000,14.20539,11.02135,3.32309
619,6.19000,14.21091,11.03336,3.32209
620,6.20000,14.21643,11.04538,3.32109
621,6.21000,14.22195,11.05739,3.32010
622,6.22000,14.22749,11.06941,3.31910
623,6.23000,14.23302,11.08142,3.31811
624,6.24000,14.23857,11.09343,3.31711
625,6.25000,14.24412,11.10544,3.31612
626,6.26000,14.24967,11.11744,3.31512
627,6.27000,14.25523,11.12945,3.31413
628,6.28000,14.26080,11.14145,3.31313
629,6.29000,14.26638,11.15345,3.31214
630,6.30000,14.27195,11.16546,3.31115
631,6.31000,14.27754,11.17746,3.31015
632,6.32000,14.28313,11.18945,3.30916
